date,message,retweets
2019-05-21 14:59:08,there is a bigger downtrend coming up very soon on SPX',0
2019-05-21 14:58:41,Very entertaining action this morning. The GT level for today is 2860 SPX and we just flipped long gamma (we are ab\xe2\x80\xa6 https://t.co/Dz7WYWKC55',0
2019-05-21 14:57:59,"b""TONIGHT'S BREAKS - SPGU, SPX, ICE, MIXER WITH ENGRAINED GIVEAWAY! - https://t.co/uiO8Wr3ACK""",1
2019-05-21 14:57:45,Current $ES long P/L \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\n$UBER $PINS $LYFT $SPY $SPX $TSLA $GOOGL $TSLAQ $AAPL $FB $AMZN $NFLX $S $T $GE $BA $KSS\xe2\x80\xa6 https://t.co/9HqJk6LWJ2',0
2019-05-21 14:57:43,May 21/2019 Algo Prediction: Current $SPX LOD of 2854.02 should hold. Not a trading recommendation.',0
2019-05-21 14:56:04,"Just hit some resistance on the $SPX. Could see a nasty pullback in wave ""e\' https://t.co/TV2XbKLMvn'",0
2019-05-21 14:55:20,"@ivs_futures Yep, #RUT was pushing higher first - early sign, then #NQ as the weakest made a perfect bounce from th\xe2\x80\xa6 https://t.co/HuacZNryjj'",0
2019-05-21 14:55:10,@AOTtrades spx breaking out on hourly chart. little inverse H&amp;S breakout there.',0
2019-05-21 14:54:35,too unreal to be believable by one person....so.... someone from my group.. when is the last tiem you had a down da\xe2\x80\xa6 https://t.co/M3Vfu7BsFe',0
2019-05-21 14:54:08,Look at this genius saying he saw on chart what I saw on tape when we actually inside the range \xf0\x9f\x99\x84\xf0\x9f\x99\x84\n\nI said breakout\xe2\x80\xa6 https://t.co/9LckLLYo6D',1
2019-05-21 14:53:40,"b""$SPX still showing yesterday's market lol @StockTwits""",0
2019-05-21 14:53:34,"b""$SPX $SPY strong, looks clear back to 2890-2900 to retest last week's highs""",0
2019-05-21 14:53:22,$XLF banks banks banks $gs $c $jpm $wfc $bac $spy $spx $iwm https://t.co/FtDiA3T326',0
2019-05-21 14:52:42,"Come on $TSLA, lets sync with $SPY $SPX'",0
2019-05-21 14:52:28,"b""key time, sharp pullback here then it's range day, simply consolidation or small pullback here then trend day has c\xe2\x80\xa6 https://t.co/2gMAbT7wBf""",0
2019-05-21 14:52:24,More #TradeHacks in my #ebooks:\nhttps://t.co/UqeeJkrqUf\n\n$ES_F $NQ_F $ZB_F $SPX $RUT $AAPL $NFLX $AMZN $TSLA $VIX\xe2\x80\xa6 https://t.co/uwchBnH146',0
2019-05-21 14:52:17,#spx up 10 points so far at 2866 as #vix coming off.  If we get a #vix slam then #spx will pop https://t.co/wWTwYMYhtf',0
2019-05-21 14:51:57,T5 Bullish Options Flow  5/21/19 : \n$SPX $QQQ $CSCO $NTES $AKRX\n#hodl#nyse#nasdaq#trading#options#hedging#hodl#tech\xe2\x80\xa6 https://t.co/QSweIhvV6Y',0
2019-05-21 14:51:57,Healthy rotation into $AAPL to keep the markets up\n\n$SPX $SPY $QQQ',0
2019-05-21 14:51:23,US stocks looking to make a push higher as they move up to new highs of the day. Price attempting to move back abov\xe2\x80\xa6 https://t.co/AzcngU85hE',1
2019-05-21 14:50:54,"Folks warning was sent to all regardless of race, nationality, sexual orientation or male female \n\nWarning was sent\xe2\x80\xa6 https://t.co/gCFecN9pKm'",3
2019-05-21 14:50:16,"#SPX above 2861. Momentum and volume its awful. #staysafe. Will short under 2859, 10 points risk #ES_F'",0
2019-05-21 14:49:05,"@Grunix1 Yeah. Looking at #RUT and market internals was useful for the ones trading this on the long side, to just\xe2\x80\xa6 https://t.co/9ORNpAfEqR'",0
2019-05-21 14:48:18,Haha it broke 2863.50 woowoo I sold my $SPX May22 2890 call at 1.45 from 1.00 as over 20%.',0
2019-05-21 14:47:38,I am looking for $ES_F 2866.25 to breakout and hold that level for a long opp. Otherwise I will be stalking a short\xe2\x80\xa6 https://t.co/aC9aM86i0X',0
2019-05-21 14:46:35,DowDuPont unveils $2B stock repurchase program\n\n$DWDP #SPX $SPY $INX #manufacturing #chemicals #Corteva\nhttps://t.co/OVuLtq3nhm',0
2019-05-21 14:45:03,"If the economy is really that fantastic, why do all government need to run such huge deficits? And why do financial\xe2\x80\xa6 https://t.co/i5gM1Uj3Za'",0
2019-05-21 14:44:50,2-yr T-Notes \xf0\x9f\x98\xae\n\n$UBER $PINS $LYFT $SPY $SPX $TSLA $GOOGL $TSLAQ $AAPL $FB $AMZN $NFLX $S $T $GE $BA $KSS $TGT $WMT\xe2\x80\xa6 https://t.co/OmiY5u1P7N',0
2019-05-21 14:44:30,"Again, I have nothing to hide.\n\n$SPX #ES_F #Trader #Futures. https://t.co/Yu6W9PTPI3'",0
2019-05-21 14:44:25,@fitzstockcharts SPX and Financials look poised for no-trend',0
2019-05-21 14:44:04,"\xf0\x9f\x98\x89\xf0\x9f\x98\x8e\xf0\x9f\x91\x8d #CRUDE #OIL""Reversal Points in TIME"" forecast #USOIL #UKOIL #FRACTALS #TRADINGPATTERNS #OOTT #DAYTRADING\xe2\x80\xa6 https://t.co/fshVwMy182'",0
2019-05-21 14:44:03,"UPDATED #FOMO Support levels for a more immediate move higher --\n\n$ES  2857.25, 2854.5\n$NQ  7430, 7425\n$RTY  1540.7\xe2\x80\xa6 https://t.co/Y5CpjQpKBN'",0
2019-05-21 14:43:56,"b""Looking for 2920ish on $SPX for 'B', unless Minor 2 bottomed already. In that case, much higher. Follow price action.""",0
2019-05-21 14:43:27,$SPX $SPY hod\n\nCrazy market \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0
2019-05-21 14:43:09,2863.63 $SPX is also a very interesting spot + could explode either side \xf0\x9f\x94\xa5',3
2019-05-21 14:43:05,"b""@SqueezeMetrics @GunjanJS So I'm counting on MMs to keep $SPX from crashing. And that works until it doesn't - reta\xe2\x80\xa6 https://t.co/MUaIIcTX2q""",0
2019-05-21 14:42:52,"I do not like the price action on #ES_F today. I sustained a pretty big hit today of -2000. I am done for the day,\xe2\x80\xa6 https://t.co/DTgq0KAoJ7'",0
2019-05-21 14:42:23,Copper made a lower low this AM. When the patient (SPX) has a terminal condition and refuses to listen to the docto\xe2\x80\xa6 https://t.co/qqLQnqGvk6',0
2019-05-21 14:42:12,"b""@QuantBohr also $DAX and also previous days' data I tweeted earlier today. also use as a guide -- advanced camarill\xe2\x80\xa6 https://t.co/6hQZmOWwNv""",0
2019-05-21 14:41:59,$SPX Very tight range first hour. About to break above 2861',0
2019-05-21 14:41:23,#Copper signals very profitable lately\n\n$UBER $PINS $LYFT $SPY $SPX $TSLA $GOOGL $TSLAQ $AAPL $FB $AMZN $NFLX $S $T\xe2\x80\xa6 https://t.co/LWhAZDadbT',0
2019-05-21 14:41:00,"Price broke resistance &amp; tested back successfully. \n\nNext: a power move up, +6%. \n\n$SPY $DJIA $SPX $COMP https://t.co/rAkQIZNuSP'",0
2019-05-21 14:40:23,$UPS is one sick puppy. I wouldn\xe2\x80\x99t be shocked if we woke up and it was down 10% on the next earnings release in lat\xe2\x80\xa6 https://t.co/ohJmcHQQda',1
2019-05-21 14:40:08,"Similar to US markets, the Chinese markets are also being propped up by stock buybacks. $SPX #China https://t.co/7TAuN8Q0xw'",1
2019-05-21 14:39:15,Morning Market News Digest And Comments\nhttps://t.co/EKmF9nASgy\n\n$indu $spx $compq $rut $tsla $idcc $qcom',0
2019-05-21 14:39:07,"@johnfcarter Unfortunately, as we form a bear flag on the SPX daily, the lower time frames are like chop suey betwe\xe2\x80\xa6 https://t.co/KZM8zeN1hh'",0
2019-05-21 14:38:32,VIX testing the lows printed when SPX traded @ 2885... Really interesting. Really is. One of two outcomes: trampa o\xe2\x80\xa6 https://t.co/lPUBe2LMHi',0
2019-05-21 14:38:23,$SPX $NDX #ES_F $TSLA $BTC $QQQ /ES resistance is at 2867. If it fails the ES  rallIES back to the 2894.25 top.  Bu\xe2\x80\xa6 https://t.co/cYSir2YJKB',0
2019-05-21 14:37:22,MKT trades higher before \xe2\x80\x9cmaterially\xe2\x80\x99 lower in S/T-\n\nsee report: https://t.co/xxO4GDd88c\n\n$SPY #SPX #SPY #SP500\xe2\x80\xa6 https://t.co/Y72KwimynC',0
2019-05-21 14:37:19,$SPX #stock $ICE challenging resistance #trading https://t.co/poLYobuvOs',0
2019-05-21 14:36:55,"@NTLiveStream Unfortunately, as we form a bear flag on the SPX daily, the lower time frames are like chop suey betw\xe2\x80\xa6 https://t.co/KSMXYfImb",0
2019-05-21 14:36:45,All days are range days until they prove otherwise. Especially inside days. Possible ledge BO to upside coming here\xe2\x80\xa6 https://t.co/ionnnntgOm',0
2019-05-21 14:36:09,Great rant by #TomSosnoff:\nSosnoff Says: Sosnoff Says | Improving Financial Services and Media\xe2\x80\xa6 https://t.co/lGxY8Ks3L9',0
2019-05-21 14:36:09,"b""$SPY $SPX $DIA We all know it's ridiculous...... $GOOG $AAPL August comes and this exact one problem comes again- https://t.co/JnHpcck5hp""",0
2019-05-21 14:35:35,2018 SPx Superscripts #SS-EG Erik Gudbranson Vancouver Canucks Auto Hockey Card: $16.26 End Date: Tuesday May-21-20\xe2\x80\xa6 https://t.co/UEcgk7gDQG',0
2019-05-21 14:35:27,#SPX zooming on a 5 min chart\n\nBuyers want to breakout from this small range and above ONH https://t.co/bdQSoMGlsq',0
2019-05-21 14:35:12,US-China trade war is economically unimportant. The problem is $SPX investors have already pre-paid full 100% penet\xe2\x80\xa6 https://t.co/za7EXy4dst',1
2019-05-21 14:34:56,$SPY Sold half with this huge pop  $BIOC $OTLK $SPX https://t.co/5rIX6wP9Qh',0
2019-05-21 14:34:45,$SPY Cash Flow Algo (Cyan) helped us stay disciplined and stay the course this morning. $ES_F $SPY $SPX $NQ_F\xe2\x80\xa6 https://t.co/rzu4Yqgoq4',0
2019-05-21 14:34:15,@TempestSea agree on both.  the question is how much will it be worth particularly in relation to the SPX and USD',0
2019-05-21 14:34:03,"b""@SqueezeMetrics @GunjanJS Hi, it's the dummy again. If I sell SPX put, I may end up BTFD. Don't understand how I'm\xe2\x80\xa6 https://t.co/v3Uz6d76BK""",0
2019-05-21 14:33:23,The Long March (October 1934 \xe2\x80\x93 October 1935) was a military retreat undertaken by the Red Army of the Communist Par\xe2\x80\xa6 https://t.co/RXa8K6snt3',0
2019-05-21 14:33:16,$SPX trying to break short term 38.2 https://t.co/qfqK0UzLng',0
2019-05-21 14:32:49,$SPX $SPY $ES_F $VIX $TVIX $NDX $TGT $BBY $TWTR $AAPL $NFLX $TSLA $BAC $WMT $RUT $INTC $IWM $GOOGL $UVXY $QQQ $XRT\xe2\x80\xa6 https://t.co/bVCYNsyXWA',0
2019-05-21 14:31:40,so watch\n$JCJ IF it gets elevated -- remember the 48 OPEN ? -- $SPX gonna come down hard\n$SPLV if goes south\n$BANK\xe2\x80\xa6 https://t.co/eaTKprIR6z',0
2019-05-21 14:30:54,Premium burn kind of a day. Greeeeat! $SPX $SPY #ES_F',0
2019-05-21 14:30:33,#SP500 range bound... Fear selling only lasts for 5 minutes or a few seconds... Greed buying always seems capped li\xe2\x80\xa6 https://t.co/CYvH92tHk0',0
2019-05-21 14:30:24,Customers of Holbrook &amp; Associates and Gritton &amp; Associates enjoyed two beauties in Salt Lake City last week: the S\xe2\x80\xa6 https://t.co/tEAnirHXh,1
2019-05-21 14:29:25,$JCJ dipped down -- meaning gr8t for $SPX moving higher\n$SPLV elevated -- meaning gr8t for $SPX moving higher/stayi\xe2\x80\xa6 https://t.co/inhXazTtGC',0
2019-05-21 14:29:16,$ES_f $SPX Better to wait and watch for now. https://t.co/oC2uv0V7so',0
2019-05-21 14:27:10,$SPX as for general market levels.. 2860 is KEY.. don\xe2\x80\x99t expect much until that is taken out.',0
2019-05-21 14:26:21,#spx just an idea.... https://t.co/LP7qYRP0ZZ',0
2019-05-21 14:26:12,#ES_F ... what a mess!  \xf0\x9f\xa4\xac ... chop chop \xf0\x9f\x92\xb5\xf0\x9f\x92\xb0... \xf0\x9f\x93\x88\xf0\x9f\x93\x89\xf0\x9f\x93\x88\xf0\x9f\x93\x89 ... $SPX\n... #ES_fun \xf0\x9f\xa4\xaa\xf0\x9f\xa4\xa3\xf0\x9f\xa4\x9f ... stand by ... \xe2\x8f\xb3 https://t.co/TWvxnDoQE4',1
2019-05-21 14:26:03,$SPX:\n\n\xe2\x80\x98Trumponomics\xe2\x80\x99 co-author Art Laffer: Fed should heed markets and lower interest rates:\n\nhttps://t.co/MTwiFRIY5a',0
2019-05-21 14:25:31,"2875 area ?\n""Nightly"" sheet opened @ .618 -- add 1.00 &amp; u get 1.618\n""Open"" sheet -- 2875-77 area based on May 20 lo\xe2\x80\xa6 https://t.co/IMxeIHK4WR'",0
2019-05-21 14:25:25,"This job might be a great fit for you: Aftermarket Technical Inside Sales Specialist - https://t.co/bwLSLhK6Za #Sales #Rochester, NY'",0
2019-05-21 14:25:18,\xe2\x96\xb6\xef\xb8\x8e Oil Prices Flat Despite Gains on Wall Street https://t.co/LHIXLTo93e $SPX $SPY $ES_F $IWM $VIX #tradetalks',0
2019-05-21 14:25:11,SPX Weekly with notes. https://t.co/Hy2eiEsl0o',4
2019-05-21 14:24:03,$CLX $SPX:\n\nClorox Is Raising Its Dividend by 10%:\n\nhttps://t.co/Dx4od6IYc8',0
2019-05-21 14:23:37,$SPX high OI range is 2600.00 to 3100.00 for option expiration 06/21/2019 #maxpain #options https://t.co/Ij3dXnZUSY https://t.co/eZJzgedeDR',0
2019-05-21 14:22:24,"$KO rejected at major gap resistance; https://t.co/e6doggjC3z, working on 3rd straight loss, choppy action ahead,\xe2\x80\xa6 https://t.co/HXW7ksJXFV'",0
2019-05-21 14:22:06,Earnings Tuesday May 21\n$SPX $NDX \nAfter Close\nAMERICAS CAR $CRMT \nARCO PLATFORM $ARCE \nDEALNET CAPITAL $DLS \nNORDS\xe2\x80\xa6 https://t.co/hfZEoezEzm',1
2019-05-21 14:21:53,"Trumponomics writer Art Laffer: Fed should follow markets, cut rates\n\n\xe2\x96\xaa\xef\xb8\x8fThe Fed should take its cues from falling b\xe2\x80\xa6 https://t.co/60wYlxJQrw'",0
2019-05-21 14:21:24,Hi all level for #ES_F today 62 73 82 94 below 51 42 48 29 think we have inside day today with FOMC keep calm and c\xe2\x80\xa6 https://t.co/BcIHgtj6yR',0
2019-05-21 14:20:41,"My latest: ""NYSE Composite An Example Why Investors Need Patience Right Now"" - https://t.co/4uX9PMT7Vq  #IBDPartner\xe2\x80\xa6 https://t.co/sokofwMnQZ'",7
2019-05-21 14:20:39,"As mentioned recently, $NQ &amp; $RTY have the best Bullish setups right now on Larger TFs w/ $RTY having a slight edge\xe2\x80\xa6 https://t.co/hOkc2xOmoP'",1
2019-05-21 14:19:54,Moved $SPX iron condor into JUL a week early: https://t.co/rji7Jt52PW',0
2019-05-21 14:19:52,"$SPX having trouble with 2860, seen this before \xf0\x9f\x91\x80 melt up &amp; fade ? https://t.co/uYTA37azvr'",0
2019-05-21 14:18:33,#TradeAlert \n\n#LOTTO\n\nBuy $AMZN May 24 1900 CALL at 5.2 or the best price available \n\n$SPX $SPY $DIA $IWM $GOOG\xe2\x80\xa6 https://t.co/gODgqWIsas',0
2019-05-21 14:18:28,SPX Weekly: Min target is shaded area. Bounce likely to happen there before heading MUCH lower as lower BB is still\xe2\x80\xa6 https://t.co/lBWxZgZP2A',0
2019-05-21 14:17:16,On Bloomberg: \xe2\x80\x9cIt\xe2\x80\x99s a risk on day\xe2\x80\x9d WTF does this even mean?....shows you how distorted everything is now. Day to da\xe2\x80\xa6 https://t.co/qcJR9iZQM4',0
2019-05-21 14:16:56,Earnings Tuesday May 21\n$SPX $NDX \nBefore Open\nAUTOZONE $AZO \nDYCOM $DY \nEATON VANCE $EV \nENDAVA $DAVA \nGOLAR LNG\xe2\x80\xa6 https://t.co/JaezeP4aw6',1
2019-05-21 14:16:55,#DAX INTRADAY GANN LEVELS \n\n#trading #bitcoin #forex #money #futures  #gbpusd #eurusd   #gann  #crypto #sp500\xe2\x80\xa6 https://t.co/ohtqsDS76a',0
2019-05-21 14:16:09,"Hi all, \n\n#SPX is confusing ..... may be!\n\nAttached is a reading that goes inline with my previous prediction. Wave\xe2\x80\xa6 https://t.co/2R94LYPll6'",0
2019-05-21 14:14:51,#NASDAQ INTRADAY GANN LEVELS\n\n#trading #bitcoin #forex #money #futures  #gbpusd #eurusd   #gann  #crypto #sp500\xe2\x80\xa6 https://t.co/xHgN2L3NnP',0
2019-05-21 14:14:39,"@GunjanJS Embedded in the hedging obligation of an option. E.g., if I sell an SPX put, I am hiring someone else to\xe2\x80\xa6 https://t.co/WMYYg7LfVJ'",0
2019-05-21 14:13:39,"b""Rangebound in $SPX and we're at the same price we were May 9, setting up for a move. Every selloff will be celebrat\xe2\x80\xa6 https://t.co/3V0X1xgH8u""",3
2019-05-21 14:13:37,same chart for S&amp;P 500 futures $ES_F $SPX https://t.co/yenz4XOTPH',0
2019-05-21 14:13:21,$SPX Calling 10:30 bulls.',0
2019-05-21 14:13:21,Remember this tweet yesterday? Spx needed gap filled still! Got it this morning #ES_f https://t.co/UDeR5q4H1N',0
2019-05-21 14:13:14,#DOWJONES INTRADAY GANN LEVELS \n\n#trading #bitcoin #forex #money #futures  #gbpusd #eurusd   #gann  #crypto #sp500\xe2\x80\xa6 https://t.co/Kl0nd13ron',0
2019-05-21 14:13:10,$BABA &amp; $CHK both leading the move lower with enough separation while $AAPl still can be tricky in short term as a\xe2\x80\xa6 https://t.co/Ft9Z8ZIAqZ',0
2019-05-21 14:10:45,STUCK IN PURGATORY \xf0\x9f\x91\xbe\n\nNow we see price bouncing around trying to find flow\n\nto boost it to \xf0\x9f\x97\x9d #LineInSand above or b\xe2\x80\xa6 https://t.co/LnEwVq6Rhq',3
2019-05-21 14:10:17,"Maybe too much GOT, but $ES $NQ $YM have that W Bottom Dragon \xf0\x9f\x90\x89 look to them...\n\n$ES $ES_F $SPX $SPY $NQ $NQ_F $NDX\xe2\x80\xa6 https://t.co/HydRpwblbI'",0
2019-05-21 14:10:12,"b""/es /ym /nq : we're just going to hide here near vpoc. We know we're supposed to go down but kudlow said we must go\xe2\x80\xa6 https://t.co/k5PgGTMTKJ""",0
